,0,1
620,hanging,137
621,dollar,137
622,waste,135
623,scream,135
624,played,135
625,supposed,134
626,candy,134
627,theyll,133
628,proud,133
629,learned,133
630,cried,133
631,breaking,133
632,beside,133
633,track,132
634,shining,132
635,mountain,132
636,mirror,132
637,grab,132
638,cars,132
639,speak,131
640,shout,131
641,heres,131
642,changed,131
643,bass,131
644,shoulder,130
645,memory,130
646,great,130
647,everybodys,130
648,sweat,129
649,losing,129
650,faith,129
651,brand,129
652,wife,128
653,wide,128
654,rush,128
655,children,128
656,stick,127
657,rich,127
658,jeans,127
659,held,127
660,future,127
661,cross,127
662,waitin,126
663,type,126
664,queen,126
665,hurry,126
666,flip,126
667,fade,126
668,empty,126
669,yesterday,125
670,probably,125
671,dreaming,125
672,corner,125
673,brown,125
674,working,124
675,midnight,124
676,holla,124
677,dear,124
678,crowd,124
679,stroke,123
680,starts,123
681,knowing,123
682,king,123
683,hurts,123
684,ends,123
685,earth,123
686,drunk,123
687,cryin,123
688,callin,123
689,block,123
690,beach,123
691,twice,122
692,slip,122
693,sent,122
694,family,122
695,wings,121
696,someday,121
697,singin,121
698,respect,121
699,problem,121
700,fame,121
701,year,120
702,trip,120
703,american,120
704,simple,119
705,safe,119
706,raise,119
707,kept,119
708,itll,119
709,satisfied,118
710,slide,117
711,scene,117
712,prove,117
713,happened,117
714,given,117
715,blood,117
716,moves,116
717,guys,115
718,explain,115
719,clap,115
720,bust,115
721,bought,115
722,bottle,115
723,anyone,115
724,weak,114
725,sounds,114
726,deny,114
727,anyway,114
728,anybody,114
729,spent,113
730,hundred,113
731,saturday,112
732,poppin,112
733,places,112
734,paradise,112
735,luck,112
736,lock,112
737,kisses,112
738,anywhere,112
739,thang,111
740,space,111
741,rolling,111
742,grown,111
743,freedom,111
744,double,111
745,south,110
746,short,110
747,mornin,110
748,died,110
749,walkin,109
750,enjoy,109
751,edge,109
752,thug,108
753,stronger,108
754,slowly,108
755,havent,108
756,father,108
757,driving,108
758,takin,107
759,stupid,107
760,shed,107
761,somebodys,106
762,point,106
763,passion,106
764,build,106
765,blues,106
766,week,105
767,price,105
768,pretend,105
