,Length,Most,Average,Unique,WeightLength,WeightUnique,Target
2430,179,24,14.2,56,81.0,128.52,0
2431,42,6,4.2,18,0.0,0.0,0
2432,92,3,2.2,86,6.93,11.0,0
2433,306,22,12.4,202,22.06,35.0,0
2434,72,5,3.4,55,14.46,22.94,0
2435,98,10,7.4,42,21.2,33.63,0
2436,85,15,8.6,37,20.55,32.6,0
2437,72,8,5.0,39,11.91,18.9,0
2438,35,3,2.0,30,4.48,7.1,0
2439,80,3,2.2,69,18.18,28.85,0
2440,89,12,6.8,39,20.64,32.74,0
2441,76,4,3.4,54,34.1,54.1,0
2442,86,6,4.4,47,24.49,38.86,0
2443,122,13,5.8,61,33.23,52.73,0
2444,111,12,7.4,64,30.35,48.15,0
2445,64,4,2.8,50,23.32,37.0,0
2446,108,4,3.4,90,19.49,30.93,0
2447,40,4,2.6,28,0.0,0.0,0
2448,115,13,7.0,52,38.9,61.72,0
2449,82,4,2.8,65,18.41,29.21,0
2450,117,8,4.4,80,17.51,27.79,0
2451,144,12,7.6,86,34.21,54.28,0
2452,59,9,5.2,33,22.12,35.09,0
2453,120,9,7.4,40,27.55,43.71,0
2454,34,4,2.6,26,14.7,23.32,0
2455,77,7,3.6,60,6.75,10.71,0
2456,114,4,3.8,69,21.09,33.45,0
2457,86,11,7.2,54,18.01,28.58,0
2458,55,4,2.4,47,16.82,26.68,0
2459,98,8,5.0,61,49.62,78.72,0
2460,89,7,5.2,49,34.54,54.8,0
2461,85,8,5.6,50,8.96,14.21,0
2462,73,4,4.0,35,13.57,21.53,0
2463,125,20,9.8,51,27.0,42.84,0
2464,89,7,5.4,61,8.35,13.25,0
2465,88,4,3.4,73,9.49,15.05,0
2466,59,3,2.2,49,11.12,17.64,0
2467,64,8,4.8,38,11.63,18.46,0
2468,109,11,5.6,66,23.34,37.02,0
2469,158,25,15.8,51,64.94,103.03,0
2470,84,6,4.8,46,18.48,29.33,0
2471,153,22,10.4,70,64.85,102.89,0
2472,64,9,5.2,26,17.64,27.99,0
2473,99,20,11.6,46,7.38,11.72,0
2474,39,4,2.8,26,5.87,9.32,0
2475,42,2,2.0,37,8.48,13.45,0
2476,101,6,4.6,54,4.28,6.79,0
2477,77,4,3.0,66,4.57,7.26,0
2478,146,10,9.4,73,14.49,22.98,0
2479,99,4,3.6,60,13.04,20.69,0
2480,89,3,3.0,54,9.68,15.36,0
2481,88,10,6.0,40,15.33,24.32,0
2482,126,8,6.0,60,34.87,55.32,0
2483,78,4,2.6,61,16.38,25.98,0
2484,66,8,4.4,37,12.56,19.93,0
2485,41,12,4.6,17,13.98,22.19,0
2486,111,13,8.0,55,41.87,66.43,0
2487,124,7,5.6,70,50.19,79.62,0
2488,89,7,4.4,65,15.41,24.45,0
2489,90,6,4.4,52,21.12,33.51,0
2490,178,15,7.8,89,43.97,69.76,0
2491,70,10,4.4,34,11.79,18.7,0
2492,48,5,3.0,34,12.49,19.81,0
2493,39,4,3.0,27,6.98,11.08,0
2494,80,12,8.2,40,24.92,39.53,0
2495,93,10,8.2,38,40.13,63.67,0
2496,61,5,3.8,36,10.07,15.98,0
2497,77,5,4.0,39,7.4,11.75,0
2498,52,10,5.2,29,22.7,36.02,0
2499,85,7,4.2,61,12.66,20.08,0
2500,61,6,4.2,37,13.71,21.76,0
2501,144,17,12.6,57,81.86,129.88,0
2502,85,12,6.6,43,31.35,49.73,0
2503,56,6,3.4,40,13.79,21.88,0
2504,94,6,5.0,49,14.49,22.99,0
2505,85,5,4.2,41,21.09,33.46,0
2506,93,5,4.8,48,27.6,43.79,0
2507,113,10,8.2,54,28.36,44.99,0
2508,130,11,6.8,61,39.8,63.15,0
2509,58,3,2.2,49,14.72,23.36,0
2510,74,6,2.8,60,16.72,26.53,0
2511,90,5,3.2,72,12.36,19.61,0
2512,40,2,1.4,38,2.3,3.65,0
2513,60,9,4.4,38,30.13,47.8,0
2514,78,6,4.6,48,23.67,37.55,0
2515,94,12,7.6,43,31.13,49.39,0
2516,215,9,5.4,177,18.69,29.65,0
2517,143,5,3.4,113,37.1,58.86,0
2518,69,3,2.2,59,8.72,13.83,0
2519,105,17,6.2,66,35.88,56.93,0
2520,78,6,3.2,51,6.15,9.76,0
2521,73,4,4.0,41,19.11,30.33,0
2522,72,6,4.0,43,25.92,41.12,0
2523,57,3,2.4,49,14.15,22.44,0
2524,127,9,7.0,52,39.73,63.03,0
2525,133,10,8.6,44,16.34,25.93,0
2526,65,8,3.8,50,7.4,11.74,0
2527,94,18,7.4,42,32.47,51.51,0
2528,155,14,8.2,97,10.88,17.27,0
2529,45,2,2.0,27,9.21,14.61,0
2530,130,33,20.8,14,94.47,149.89,0
2531,67,6,3.8,48,7.14,11.34,0
2532,82,7,4.2,54,16.45,26.1,0
2533,58,6,4.4,23,28.75,45.62,0
2534,55,15,5.6,31,12.82,20.35,0
