,Length,Most,Average,Unique,WeightLength,WeightUnique,Target
3377,66,7,4.6,45,7.31,11.61,1
3378,124,12,8.2,48,43.7,69.33,1
3379,131,15,8.6,47,64.13,101.75,1
3380,84,11,5.0,58,38.74,61.47,1
3381,115,11,9.0,57,13.75,21.82,1
3382,92,21,9.0,34,65.07,103.24,1
3383,123,8,6.4,61,0.27,0.43,1
3384,100,14,8.2,51,25.3,40.14,1
3385,70,7,5.0,41,11.67,18.51,1
3386,96,6,4.2,56,19.06,30.24,1
3387,298,11,8.2,188,66.98,106.27,1
3388,159,10,6.8,78,25.12,39.86,1
3389,154,19,12.0,59,46.29,73.44,1
3390,104,10,8.0,48,48.88,77.56,1
3391,156,11,7.8,66,46.32,73.49,1
3392,92,12,8.8,36,29.05,46.1,1
3393,283,20,14.8,136,42.76,67.84,1
3394,109,8,6.0,47,17.23,27.34,1
3395,97,9,5.4,58,20.64,32.74,1
3396,115,6,6.0,55,25.0,39.67,1
3397,114,22,11.0,48,60.81,96.48,1
3398,237,69,27.2,31,70.67,112.11,1
3399,139,11,9.2,68,56.94,90.34,1
3400,209,16,12.2,95,63.88,101.35,1
3401,150,9,6.6,76,53.95,85.59,1
3402,160,14,7.6,80,66.06,104.82,1
3403,286,21,16.6,107,82.91,131.54,1
3404,73,10,5.6,38,24.58,38.99,1
3405,136,25,10.4,54,34.53,54.78,1
3406,427,39,26.8,197,139.36,221.11,1
3407,153,21,13.2,61,65.65,104.16,1
3408,75,23,8.8,32,21.77,34.55,1
3409,134,9,8.6,57,48.17,76.43,1
3410,138,11,8.8,52,49.61,78.7,1
3411,63,7,5.0,37,6.02,9.55,1
3412,161,9,6.6,81,77.13,122.38,1
3413,117,11,7.6,55,62.82,99.67,1
3414,267,43,29.2,60,186.76,296.31,1
3415,119,8,7.2,53,37.53,59.54,1
3416,231,11,7.8,163,33.61,53.33,1
3417,170,15,11.0,79,37.21,59.04,1
3418,108,18,10.2,43,23.71,37.62,1
3419,122,15,8.2,72,28.96,45.95,1
3420,108,12,7.4,57,13.98,22.18,1
3421,102,10,6.8,47,38.11,60.46,1
3422,160,35,14.4,49,68.72,109.03,1
3423,124,14,10.2,60,21.09,33.46,1
3424,226,36,15.2,99,46.0,72.98,1
3425,274,43,29.4,78,147.38,233.83,1
3426,128,12,6.8,54,15.85,25.15,1
3427,172,5,4.4,129,24.12,38.27,1
3428,148,19,10.2,74,81.43,129.19,1
3429,248,39,17.6,102,87.3,138.51,1
3430,93,18,7.8,49,10.53,16.7,1
3431,200,24,18.2,49,53.85,85.45,1
3432,82,12,4.2,66,16.15,25.63,1
3433,96,26,12.2,35,48.59,77.1,1
3434,72,3,2.4,51,20.02,31.76,1
